,Category,Title
9226,Travel,"Explore Costa Rica, 5th Edition"
19823,Science & Math,All About Telescopes
19148,Romance,Saving the Tropical Forests
8464,Travel,Cuba's Best Beaches
35296,Science & Math,Rome 1960: The Summer Olympics That Stirred the World
41800,"Cookbooks, Food & Wine","300 Best Homemade Candy Recipes: Brittles, Caramels, Chocolate, Fudge, Truffles and So Much More"
34693,Sports & Outdoors,"Bikes, Scooters, Skates, and Boards: How to buy 'em, fix 'em, improve 'em & move 'em"
41237,"Cookbooks, Food & Wine","The Pumpkin Pie Spice Cookbook: Delicious Recipes for Sweets, Treats, and Other Autumnal Delights"
12780,Travel,The Desert and the Sown: Travels in Palestine and Syria
24334,Science & Math,"Euler: The Master of Us All (Dolciani Mathematical Expositions, No 22)"
5286,Travel,Kyoto Travel Map Fourth Edition
45469,"Cookbooks, Food & Wine",Olive Trees and Honey: A Treasury of Vegetarian Recipes from Jewish Communities Around the World
3392,Travel,The Caliph's House: A Year in Casablanca
35086,Travel,The Best Of Frank Deford
43891,"Cookbooks, Food & Wine",The Sauce Book: 300 World Sauces Made Simple
8321,Travel,Barbados Country
3688,Travel,The Shadow of Imana: Travels in the Heart of Rwanda
43954,"Cookbooks, Food & Wine","Southern Living Soups, Stews and Chilis: Comfort Food in a Bowl (Southern Living (Paperback Oxmoor))"
8348,Travel,Diving & Snorkeling Guide to Bermuda (Lonely Planet Diving and Snorkeling Bermuda)
23467,Science & Math,Evolutionary Game Theory
42265,"Cookbooks, Food & Wine","Jewish Festivals: Celebrating the Jewish Holidays: Cooking, Crafts, & Traditions"
39410,"Cookbooks, Food & Wine","Cannabis Cocktails, Mocktails, and Tonics: The Art of Spirited Drinks and Buzz-Worthy Libations"
1799,Travel,The Single Girl's Guide to Meeting European Men
8927,Travel,"Puerto Rico 1:190,000 Travel Map 2007"
33129,Science & Math,"How to Know the Grasshoppers, Crickets, Cockroaches and Their Allies"
40541,"Cookbooks, Food & Wine",Culinary Calculations: Simplified Math for Culinary Professionals
841,Travel,Compass American Guides: Yellowstone and Grand Teton National Parks (Full-color Travel Guide)
31495,Romance,Crystal Line (Crystal Singer Trilogy)
24944,Science & Math,Deep Thinking: What Mathematics Can Teach Us About the Mind
24106,Science & Math,"Standard Deviations: Flawed Assumptions, Tortured Data, and Other Ways to Lie with Statistics"
23842,Science & Math,Advanced Mathematical And Computational Tools in Metrology (Series on Advances in Mathematics for Applied Sciences)
22278,Travel,"The Mapmaker's Wife: A True Tale of Love, Murder, and Survival in the Amazon"
34224,Travel,"Codex Wallerstein: A Medieval Fighting Book from the Fifteenth Century on the Longsword, Falchion, Dagger, and Wrestling"
34829,Sports & Outdoors,Playing Zen-Sational Tennis
29692,Romance,The King's Deryni (A Novel of the Deryni)
45836,"Cookbooks, Food & Wine",5:2 Fast Diet for Beginners: 2 Fast Diet for Beginners: The Complete Book for Intermittent Fasting with Easy Recipes and Weight Loss Plans
4010,Travel,Egypt & the Sudan (Lonely Planet Egypt)
312,Travel,"Diving & Snorkeling Baja California:  Includes the Pacific Coast, Sea of Cortez & the Islas De Revillagigedo (Lonely Planet)"
13876,Travel,Chile Handbook (Footprint - Handbooks)
29376,Romance,Midnight Man
3102,Travel,"Lonely Planet South Africa, Lesotho & Swaziland (Travel Guide) by Lonely Planet, Bainbridge, James, Armstrong, Kate, Corne, Lu (2012) Paperback"
8781,Travel,"Traveling Jamaica With Knife, Fork & Spoon: A Righteous Guide to Jamaican Cookery"
14949,Travel,Best Easy Day Hikes Colorado Springs (Best Easy Day Hikes Series)
7739,Travel,Secret Montreal: An Unusual Guide
3744,Travel,The Uganda Travel Journal
19048,"Cookbooks, Food & Wine",5 Acres & A Dream The Book: The Challenges of Establishing a Self-Sufficient Homestead
40047,"Cookbooks, Food & Wine",About Professional Baking
4522,Travel,"Khyber Caravan : Through Kashmir, Waziristan, Afghanistan, Baluchistan and Northern India"
20506,Science & Math,Fossil Shark Teeth of the World
11545,Science & Math,Computational Materials Science: From Ab Initio to Monte Carlo Methods (Springer Series in Solid-State Sciences)
30578,Romance,Secret Sister: An Amish Christmas Tale
3880,Travel,"Somalia Travel Journal, Pop. 10,085,638 + Me"
37076,Travel,The 5 Year Plan of the Soviet Union
