,Category,Title
19854,Science & Math,Eyes on the Universe: A History of the Telescope
31826,Romance,"Writing Romance: The Top 100 Best Strategies For Writing Romance Stories (How To Write Romance Novels, Romance Writing Skills, Writing Romance Fiction Plots, Publishing Romance Books)"
29431,Romance,"The Vampire Shrink (Kismet Knight, Ph.D., Vampire Psychologist)"
45987,"Cookbooks, Food & Wine",Superfoods Soups & Stews: Over 70 Quick & Easy Gluten-Free Whole Foods Soups & Stews Recipes full of Antioxidants & Phytochemicals: Soups Stews and ... - weight loss plan for women) (Volume 30)
3706,Travel,"The Impenetrable Forest: My Gorilla Years in Uganda, Revised Edition"
42486,"Cookbooks, Food & Wine",Thanksgiving Dinner
40772,"Cookbooks, Food & Wine",The Raw and the Cooked: Adventures of a Roving Gourmand
30545,Romance,The Christmas Pearl
12957,Travel,Full Tilt: From Dublin to Delhi with a Bicycle
17012,Travel,Ribbon of Sand: The Amazing Convergence of the Ocean and the Outer Banks
42296,"Cookbooks, Food & Wine",Camille Styles Entertaining: Inspired Gatherings and Effortless Style
17764,Travel,Canyoneering: The San Rafael Swell
18139,Travel,Backroads of Wisconsin: Your Guide to Wisconsin's Most Scenic Backroad Adventures
23863,Science & Math,Verification and Validation in Scientific Computing
40945,"Cookbooks, Food & Wine","Making Cheese, Butter & Yogurt: (Storey's Country Wisdom Bulletin A-283) (Storey Country Wisdom Bulletin)"
43870,"Cookbooks, Food & Wine",Salsas and Tacos: Santa Fe School of Cooking
23491,Science & Math,Study Guide and Solutions Manual for iGenetics: A Molecular Approach
19933,Science & Math,The Secret History of Extraterrestrials: Advanced Technology and the Coming New Race
3696,Travel,"Tanzania (French, Spanish, German and English Edition)"
19976,Science & Math,Collapse: How Societies Choose to Fail or Succeed: Revised Edition
17059,Travel,Coastal Waters: Images of North Carolina
41377,"Cookbooks, Food & Wine",Simply Ancient Grains: Fresh and Flavorful Whole Grain Recipes for Living Well
15179,Travel,Tampa Bay Landmarks and Destinations (Images of Modern America)
38742,"Cookbooks, Food & Wine",The Bread Builders: Hearth Loaves and Masonry Ovens
38038,"Cookbooks, Food & Wine","The Gluten-Free Asian Kitchen: Recipes for Noodles, Dumplings, Sauces, and More"
34058,Sports & Outdoors,How to Play Bowls (Jarrold Sports Series)
36400,Sports & Outdoors,"Coastal Cruising Under Power: How to Buy, Equip, Operate, and Maintain Your Boat"
5653,Travel,Culture Shock! Mauritius: A Survival Guide to Customs and Etiquette (Culture Shock! Guides)
27733,Romance,The Scourge of Muirwood (Legends of Muirwood)
16018,Travel,Streetwise Baltimore
31460,Romance,Double Star
45370,"Cookbooks, Food & Wine","DIY Protein Bars Cookbook: Easy, Healthy, Homemade No-Bake Treats That Taste Like Dessert, But Just Happen To Be Packed With Protein!"
4607,Travel,"Georgia, Armenia & Azerbaijan (Lonely Planet Travel Guides)"
39258,"Cookbooks, Food & Wine",Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.)
45400,"Cookbooks, Food & Wine","Portable Protein: Healthy, Delicious, and Easy to Make Snacks to Take on the Go"
20794,Science & Math,Student Lab Notebook: 100 Top Bound Carbonless Duplicate Sets
9930,Travel,"Moscow, St. Petersburg, Kiev: The Complete Guide with Short Excursions (Fodor's Travel Guides)"
18271,Travel,The Washington Historical Atlas: Who Did What When and Where in the Nation's Capital
8113,Travel,Berndtson & Berndtson Curacao Map (B&B maps)
15161,Travel,"Moon Florida Road Trip: Miami, Fort Lauderdale, Daytona Beach, Walt Disney World, Tampa, Sarasota, Naples, the Everglades & the Keys (Moon Handbooks)"
24589,Science & Math,Matrix Analysis
42888,"Cookbooks, Food & Wine","Food Storage: Preserving Vegetables, Grains, and Beans: Canning - Dehydrating - Freezing - Brining - Salting - Sugaring - Smoking - Pickling - Fermenting"
7612,Travel,"2008 Country Profile and Guide to Vanuatu (formerly New Hebrides) - National Travel Guidebook and Handbook - Volcanoes, Earthquakes, U.S. Relations (Two CD-ROM Set)"
21895,Science & Math,"Physical Chemistry: Quanta, Matter, and Change"
19473,Science & Math,Large Meteorite Impacts III (Special Paper (Geological Society of America))
26936,Science & Math,Soft ferrites: properties and applications
4256,Travel,Mali: A Spy Guide
27080,Science & Math,Optics For Dummies
1458,Travel,Put Your Best Foot Forward Russia: A Fearless Guide to International Communication & Behavior (Put Your Best Foot Forward Bk. 4)
35828,Sports & Outdoors,Rock Climbing Guide to the Castle Rock Area
11070,Travel,Frommer's Iceland (Frommer's Complete Guides)
41111,"Cookbooks, Food & Wine","The Fishmonger's Apprentice: The Expert's Guide to Selecting, Preparing, and Cooking a World of Seafood, Taught by the Masters"
7176,Travel,Guam: Island of Unending Summer
34532,Sports & Outdoors,Essentials of Tai Chi and Qigong (Great Courses) (Teaching Company) Course No. 1908
34490,Sports & Outdoors,Twenty-Four Andy Warhol's Paintings (Collection) for Kids
21493,Science & Math,"Handbook of Industrial Drying, Fourth Edition"
2806,Travel,"Lonely Planet Ethiopia & Eritrea (Country Travel Guide) by Jean-Bernard Carillet, Stuart Butler, David Lukas, Dean Star (2009) Paperback"
10615,Travel,"Tallinn, 2nd (Footprint - Pocket Guides)"
30820,Romance,The Thief: A Novel (The Living Water Series)
